               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032146,            0.012298,            0.054463,             0.79057,             0.58234,             0.66456,             0.55803,           0.0099141,           0.0033166,            0.020534,           0.0033306,           0.0033306,            0.070025
                   1,            0.025135,           0.0085638,            0.024956,             0.85146,             0.93695,             0.91445,             0.79983,           0.0087613,           0.0029871,           0.0052393,           0.0066311,           0.0066311,            0.039992
                   2,              0.0226,           0.0084149,            0.024305,             0.88574,             0.88797,             0.92873,             0.81789,           0.0073073,           0.0030233,           0.0049872,           0.0098015,           0.0098015,           0.0098292
                   3,            0.019679,           0.0079737,             0.02203,             0.92809,             0.97357,             0.96462,             0.89524,           0.0056805,           0.0025401,            0.002314,            0.009564,            0.009564,            0.009564
                   4,            0.017259,           0.0073827,            0.018933,             0.93714,             0.98878,             0.97429,             0.91437,           0.0051238,           0.0023986,            0.001817,            0.009564,            0.009564,            0.009564
                   5,            0.015952,           0.0069984,            0.016276,             0.97662,             0.97628,              0.9916,             0.93484,           0.0047889,           0.0024909,           0.0016171,           0.0092361,           0.0092361,           0.0092361
                   6,            0.014957,           0.0067756,            0.014693,             0.99794,              0.9959,              0.9946,             0.94559,            0.004373,           0.0022267,          0.00097608,           0.0088284,           0.0088284,           0.0088284
                   7,            0.014261,           0.0064732,            0.013011,             0.99309,             0.99252,              0.9947,             0.95548,           0.0041017,           0.0021609,           0.0009138,           0.0083511,           0.0083511,           0.0083511
                   8,            0.013504,           0.0063341,            0.012442,             0.99128,              0.9963,             0.99492,             0.95745,           0.0040145,           0.0020648,          0.00087601,            0.007816,            0.007816,            0.007816
                   9,            0.012988,            0.006195,            0.011778,             0.99735,              0.9994,             0.99499,             0.96223,           0.0037975,           0.0020278,          0.00056656,           0.0072361,           0.0072361,           0.0072361
                  10,            0.012466,           0.0060043,            0.011019,             0.99822,              0.9991,             0.99494,             0.96391,           0.0037411,            0.001979,          0.00052551,           0.0066257,           0.0066257,           0.0066257
                  11,            0.011915,            0.005858,            0.010005,             0.99647,              0.9999,             0.99489,             0.96624,           0.0036103,           0.0019324,          0.00041673,               0.006,               0.006,               0.006
                  12,            0.011415,           0.0057138,            0.009755,             0.99652,                   1,             0.99463,             0.96691,            0.003554,           0.0018996,          0.00038698,           0.0053743,           0.0053743,           0.0053743
                  13,            0.010948,            0.005622,           0.0090121,             0.99691,              0.9999,              0.9949,             0.96784,           0.0034664,           0.0018726,          0.00034439,           0.0047639,           0.0047639,           0.0047639
                  14,            0.010437,           0.0054433,           0.0081537,             0.99667,              0.9999,             0.99486,              0.9685,           0.0034133,           0.0018451,          0.00031853,            0.004184,            0.004184,            0.004184
                  15,            0.010111,           0.0053224,           0.0077064,             0.99685,             0.99992,             0.99484,             0.97029,           0.0033513,           0.0018229,          0.00028167,           0.0036489,           0.0036489,           0.0036489
                  16,            0.009718,           0.0051975,           0.0072565,             0.99753,             0.99941,             0.99486,             0.97063,           0.0033272,           0.0017999,          0.00024263,           0.0031716,           0.0031716,           0.0031716
                  17,           0.0093195,           0.0050824,           0.0066399,             0.99682,             0.99992,             0.99486,             0.97115,            0.003289,            0.001785,          0.00021856,           0.0027639,           0.0027639,           0.0027639
                  18,           0.0090549,           0.0049975,           0.0062156,             0.99678,             0.99992,             0.99489,             0.97104,           0.0032641,           0.0017636,          0.00020282,            0.002436,            0.002436,            0.002436
                  19,           0.0087985,           0.0049391,           0.0061902,             0.99931,             0.99924,               0.995,             0.97252,           0.0032444,           0.0017487,          0.00018842,           0.0021958,           0.0021958,           0.0021958
